Day,data,smoothed
2022-04-22,0.0008597753273178287,0.0009631687063600035
2022-04-23,0.000874634744812205,0.0009632287785843854
2022-04-24,0.0009006514118209403,0.0009638063652203738
2022-04-25,0.0009383411744523447,0.0009645307970375254
2022-04-26,0.0009778202631450883,0.0009650051487533883
2022-04-27,0.0010146721187259914,0.000964827498738417
2022-04-28,0.0010445836094086199,0.0009636110956765551
2022-04-29,0.0010610249334547226,0.0009610063799242343
2022-04-30,0.0010649037024874593,0.00095671772671176
2022-05-01,0.0010567738419650183,0.0009505168980149663
2022-05-02,0.0010397276855332418,0.0009422513721038303
2022-05-03,0.0010209911125379034,0.0009318474713753309
2022-05-04,0.0010013878309498888,0.0009193086389849621
2022-05-05,0.0009805113114386107,0.0009047095105031854
2022-05-06,0.0009585245207132946,0.0008881868580808891
2022-05-07,0.0009348343244936318,0.0008699285690544581
2022-05-08,0.000910998991090852,0.0008501616377182269
2022-05-09,0.0008858233775195782,0.0008291400415383841
2022-05-10,0.0008570228841402864,0.0008071332105194507
2022-05-11,0.0008257995114483951,0.00078441568110772
2022-05-12,0.0007925378447423584,0.0007612582231849749
2022-05-13,0.0007581944663346922,0.0007379204366389488
2022-05-14,0.0007263634375765217,0.0007146450945196016
2022-05-15,0.0006961460212694467,0.000691654254558727
2022-05-16,0.0006660523628494765,0.0006691466915509794
2022-05-17,0.0006398400551130821,0.0006472966529015063
2022-05-18,0.0006171406480795552,0.0006262539466231931
2022-05-19,0.0005950284859353598,0.0006061450642328863
2022-05-20,0.0005754082622637128,0.0005870752837268219
2022-05-21,0.0005586221264773982,0.0005691313718724753
2022-05-22,0.0005421825773162474,0.0005523844809630642
2022-05-23,0.0005246930223528365,0.0005368933832256942
2022-05-24,0.0005056043767243007,0.0005227077111847334
2022-05-25,0.0004857190497821022,0.0005098709998443524
2022-05-26,0.0004941616127624426,0.0004984237527084616
2022-05-27,0.00046353080961473894,0.0004884062759478167
2022-05-28,0.0004491593241289736,0.0004798615658178041
2022-05-29,0.0004394074607902098,0.00047283850294484555
2022-05-30,0.000432574960491061,0.0004673949214337848
2022-05-31,0.00042864036325892624,0.00046360103388344597
2022-06-01,0.00042688621219027123,0.0004615433974790522
2022-06-02,0.00042610542416458743,0.000461328813800251
2022-06-03,0.0004259430221914834,0.00046308846774392867
2022-06-04,0.0004257749728571685,0.00046698253639173497
2022-06-05,0.0004258687997298561,0.0004732050821968041
2022-06-06,0.00042758761445264935,0.00048198892342434576
2022-06-07,0.00043047785324373453,0.0004936099132994866
2022-06-08,0.00043382762588419925,0.0005083907573935803
2022-06-09,0.0004389286452361249,0.0005267042596151063
2022-06-10,0.00044624100988501197,0.0005489754220423945
2022-06-11,0.00045611703449382416,0.0005756823139131378
2022-06-12,0.000470832605630503,0.0006073551112254067
2022-06-13,0.0004907290659419457,0.0006445727652082278
2022-06-14,0.0005151088856420327,0.0006879571026573306
2022-06-15,0.0005450933079608689,0.0007381639955286923
2022-06-16,0.0005795923115081862,0.0007958714294924523
2022-06-17,0.0006168953912498301,0.0008617646404811117
2022-06-18,0.0006573981851769095,0.0009365189776583623
2022-06-19,0.0007007183669354552,0.00102078105986563
2022-06-20,0.0007514131149927952,0.0011151487830614003
2022-06-21,0.0008169655056595595,0.0012201520461978502
2022-06-22,0.0008974848557134708,0.0013362353648005995
2022-06-23,0.000994339682129077,0.0014637424606043414
2022-06-24,0.001111246029259656,0.0016029055990273277
2022-06-25,0.0012435776594779309,0.0017538357096253592
2022-06-26,0.0013928474201756788,0.0019165178398815098
2022-06-27,0.0015692137040222507,0.0020908071189360187
2022-06-28,0.0017710070703671533,0.002276425745281342
2022-06-29,0.001994202644875468,0.0024729600536679
2022-06-30,0.002238138234106938,0.0026798566538824057
2022-07-01,0.0024872245394689883,0.0028964169885652502
2022-07-02,0.002718380230957066,0.0031217911347214905
2022-07-03,0.0029230993337920927,0.0033549724814050134
2022-07-04,0.0031181337768867636,0.0035947955227719906
2022-07-05,0.0033327534300135755,0.0038399382606336715
2022-07-06,0.0035816600686125345,0.004088931552599439
2022-07-07,0.0038695134110952384,0.004340177360972683
2022-07-08,0.004195646504102695,0.00459197645291337
2022-07-09,0.004547765526338583,0.004842565008641913
2022-07-10,0.004915638669437811,0.005090158185077515
2022-07-11,0.005283586922441142,0.005332997694348683
2022-07-12,0.005630996771516543,0.00556940036470805
2022-07-13,0.005945506385003397,0.005797803638456799
2022-07-14,0.006216772540167582,0.006016804827857268
2022-07-15,0.006440009179059559,0.006225192386820268
2022-07-16,0.006621270434250452,0.006421967396404719
2022-07-17,0.006779375572239043,0.006606355464784908
2022-07-18,0.006938086591408963,0.006777809876063003
2022-07-19,0.007096938471902797,0.006936007121393287
2022-07-20,0.007251921748614073,0.007080836212155469
2022-07-21,0.00740931451232422,0.007212382176608217
2022-07-22,0.007560028061253797,0.007330903635980373
2022-07-23,0.007691565269102894,0.007436803715856578
2022-07-24,0.007811292392481664,0.007530592985115999
2022-07-25,0.007919314310955454,0.007612844188344806
2022-07-26,0.008002005071394909,0.007684138695453114
2022-07-27,0.008039828999193362,0.007745005585937237
2022-07-28,0.008031348356863144,0.007795856919141293
2022-07-29,0.007995603384079553,0.0078369246037953
2022-07-30,0.007945636016146162,0.007868205101098143
2022-07-31,0.007885928805685725,0.007889419110869877
2022-08-01,0.007828800503060483,0.007899993938695078
2022-08-02,0.007813580541891093,0.007899074162994237
2022-08-03,0.007864157824835249,0.007885563452494535
2022-08-04,0.007975453599279514,0.007858196866996974
2022-08-05,0.008127552365237503,0.007815639178285668
2022-08-06,0.008288639309945384,0.007756601479652807
2022-08-07,0.00842567091619303,0.007679965889195948
2022-08-08,0.008506842859173141,0.007584906602806837
2022-08-09,0.008497619911550059,0.0074709946085404905
2022-08-10,0.008390362807137387,0.007338276147750703
2022-08-11,0.008193785101576988,0.007187318053989024
2022-08-12,0.007917235759323536,0.007019215435715759
2022-08-13,0.007593458019323915,0.006835561755939145
2022-08-14,0.0072506769088500405,0.006638385581026261
2022-08-15,0.006905537621687725,0.006430061125628277
2022-08-16,0.006569008946840066,0.0062132013524488685
2022-08-17,0.006241284104737058,0.005990542300225879
2022-08-18,0.005922567207148178,0.005764827805735927
2022-08-19,0.005620651612544293,0.0055387028830247275
2022-08-20,0.005343909130537431,0.005314621315004287
2022-08-21,0.005088832669139114,0.005094770805374651
2022-08-22,0.004839473918936938,0.004881018106325879
2022-08-23,0.0045920815799083544,0.004674874648855256
2022-08-24,0.004351086571659335,0.004477481118542986
2022-08-25,0.004120622278536632,0.004289609052872339
2022-08-26,0.003907901106895705,0.004111678134724247
2022-08-27,0.0037227558386938087,0.003943786759932758
2022-08-28,0.003573064462143382,0.003785753202346195
2022-08-29,0.0034525642956914444,0.0036371647201679583
2022-08-30,0.003356912034507378,0.0034974313936374157
2022-08-31,0.0032819183046918538,0.0033658430849638384
2022-09-01,0.003216037076249445,0.003241625977040042
2022-09-02,0.003154245666795878,0.0031239951020011307
2022-09-03,0.0030901916824115096,0.0030122008652720272
2022-09-04,0.0030060520511151377,0.0029055670413441854
2022-09-05,0.002898393419320378,0.002803518718974399
2022-09-06,0.0027846729906785624,0.002705600086877972
2022-09-07,0.002666955843831294,0.0026114813335575645
2022-09-08,0.002542241293737522,0.002520956096571556
2022-09-09,0.0024273306433822413,0.002433931310097183
2022-09-10,0.002337464587818145,0.002350410627951215
2022-09-11,0.002266423446114041,0.0022704741937846023
2022-09-12,0.0021967925311808557,0.00219425671140199
2022-09-13,0.0021188931533458,0.002121925537977684
2022-09-14,0.0020332740747653825,0.002053660639105911
2022-09-15,0.0019460258131522462,0.001989637322245655
2022-09-16,0.0018608085846602697,0.0019300126863948512
2022-09-17,0.001778808899879837,0.001874916473428453
2022-09-18,0.0017131292015560642,0.0018244461231686306
2022-09-19,0.0016711225153385558,0.0017786654958851693
2022-09-20,0.001639491322490658,0.0017376065371125077
2022-09-21,0.0016160896257522768,0.0017012737158043465
2022-09-22,0.0016008974173294089,0.0016696502339016484
2022-09-23,0.0015835386391163215,0.001642704625913935
2022-09-24,0.0015622059741723904,0.0016203975748955303
2022-09-25,0.0015340338707426804,0.001602688534073241
2022-09-26,0.0015008552202464417,0.001589540858351683
2022-09-27,0.0014771192804009718,0.0015809255783413281
2022-09-28,0.0014615326441358254,0.0015768241825739663
2022-09-29,0.0014522372489360693,0.0015772300824677087
2022-09-30,0.0014548932029134964,0.001582148958735519
2022-10-01,0.0014656068118664549,0.0015915983982553558
2022-10-02,0.0014854121883092265,0.0016056068921100172
2022-10-03,0.0015133560576694326,0.0016242120268920226
2022-10-04,0.0015359961674102464,0.0016474580596914084
2022-10-05,0.0015543075747830024,0.001675393564449028
2022-10-06,0.0015725278982870875,0.001708068384261893
2022-10-07,0.0015888405431741734,0.0017455299548363415
2022-10-08,0.0016107932883790473,0.001787819692854034
2022-10-09,0.0016464707348578756,0.0018349693997708944
2022-10-10,0.0016951038733669284,0.0018869974448035493
2022-10-11,0.001754197941753052,0.00194390481801924
2022-10-12,0.0018198841748805117,0.002005671507732625
2022-10-13,0.0018903475108561646,0.002072253221319589
2022-10-14,0.0019621503202344242,0.0021435786239641453
2022-10-15,0.00203163496851225,0.0022195468991657147
2022-10-16,0.0021032880421418356,0.0023000255967969697
2022-10-17,0.002182322136197314,0.00238484920916904
2022-10-18,0.0022684098650816364,0.002473818478701248
2022-10-19,0.0023582142837319463,0.0025667000979763825
2022-10-20,0.0024552677359089945,0.002663227589140094
2022-10-21,0.0025666958199587683,0.002763103510291754
2022-10-22,0.002681824942516317,0.002866002856674441
2022-10-23,0.0027921930168668284,0.0029715779199674885
2022-10-24,0.0029121676560198094,0.003079464644049299
2022-10-25,0.003036220658086034,0.00318928985917839
2022-10-26,0.003155870977352339,0.0033006799627760875
2022-10-27,0.003275879984732117,0.00341326897379198
2022-10-28,0.0033963361017666106,0.003526706009077958
2022-10-29,0.003519040433299114,0.003640662053736888
2022-10-30,0.003645835551939523,0.0037548344557479913
2022-10-31,0.0037746563790462375,0.0038689479785606867
2022-11-01,0.003906132918100612,0.003982753202934986
2022-11-02,0.004034646690110638,0.0040960208991673375
2022-11-03,0.004155585253145709,0.0042085334507528105
2022-11-04,0.004264902837634428,0.00432007431576689
2022-11-05,0.004362184765910746,0.004430416876839242
2022-11-06,0.004450640514027335,0.004539314646752073
2022-11-07,0.004535924704087954,0.004646494521026728
2022-11-08,0.004625952032152912,0.004751654732168721
2022-11-09,0.004726904261156701,0.004854468403210568
2022-11-10,0.004844198339972693,0.00495459304265756
2022-11-11,0.004976527307863541,0.005051685287998176
2022-11-12,0.005120778662036217,0.0051454189145347115
2022-11-13,0.005269523702200896,0.005235503667757103
2022-11-14,0.005413863800621171,0.00532170203498163
2022-11-15,0.005542856791568225,0.005403840969528321
2022-11-16,0.005645694432450525,0.00548181629441919
2022-11-17,0.005716338887367866,0.005555588292928789
2022-11-18,0.005753931434709857,0.0056251688337644636
2022-11-19,0.005762721471757837,0.005690601676234579
